"","date","species","mantle_length_mm","weight_g"
"1",2023-08-06,"ILLEX",115,40
"2",2023-08-06,"ILLEX",121,32
"3",2023-08-06,"ILLEX",115,40
"4",2023-08-06,"ILLEX",122,38
"5",2023-08-06,"ILLEX",118,36
"6",2023-08-06,"ILLEX",115,38
"7",2023-08-06,"ILLEX",128,46
"8",2023-08-06,"ILLEX",126,40
"9",2023-08-06,"ILLEX",114,36
"10",2023-08-06,"ILLEX",108,28
"11",2023-08-06,"ILLEX",111,28
"12",2023-08-06,"ILLEX",124,38
"13",2023-08-06,"ILLEX",123,38
"14",2023-08-06,"ILLEX",108,26
"15",2023-08-06,"ILLEX",118,42
"16",2023-08-06,"ILLEX",126,36
"17",2023-08-06,"ILLEX",124,34
"18",2023-08-06,"ILLEX",140,76
"19",2023-08-06,"ILLEX",121,36
"20",2023-08-06,"ILLEX",119,34
"21",2023-08-06,"ILLEX",123,42
"22",2023-08-06,"ILLEX",134,40
"23",2023-08-06,"ILLEX",125,42
"24",2023-08-06,"ILLEX",120,34
"25",2023-08-06,"ILLEX",125,44
"26",2023-08-06,"ILLEX",116,42
"27",2023-08-06,"ILLEX",125,42
"28",2023-08-06,"ILLEX",110,38
"29",2023-08-06,"ILLEX",116,34
"30",2023-08-06,"ILLEX",121,36
"31",2023-08-06,"ILLEX",111,34
"32",2023-08-06,"ILLEX",131,46
"33",2023-08-06,"ILLEX",121,32
"34",2023-08-06,"ILLEX",126,44
"35",2023-08-06,"ILLEX",131,46
"36",2023-08-06,"ILLEX",117,36
"37",2023-08-06,"ILLEX",116,32
"38",2023-08-06,"ILLEX",119,36
"39",2023-08-06,"ILLEX",118,34
"40",2023-08-06,"ILLEX",130,38
"41",2023-08-06,"ILLEX",137,52
"42",2023-08-06,"ILLEX",130,36
"43",2023-08-06,"ILLEX",108,38
"44",2023-08-06,"ILLEX",107,30
"45",2023-08-06,"ILLEX",110,32
"46",2023-08-06,"ILLEX",117,32
"47",2023-08-06,"ILLEX",115,34
"48",2023-08-06,"ILLEX",129,42
"49",2023-08-06,"ILLEX",129,36
"50",2023-08-06,"ILLEX",127,40
"51",2023-08-06,"ILLEX",123,36
"52",2023-08-06,"ILLEX",123,36
"53",2023-08-06,"ILLEX",127,42
"54",2023-08-06,"ILLEX",116,30
"55",2023-08-06,"ILLEX",122,36
"56",2023-08-06,"ILLEX",112,36
"57",2023-08-06,"ILLEX",126,38
"58",2023-08-06,"ILLEX",131,42
"59",2023-08-06,"ILLEX",114,32
"60",2023-08-06,"ILLEX",128,38
"61",2023-08-06,"ILLEX",118,34
"62",2023-08-06,"ILLEX",110,30
"63",2023-08-06,"ILLEX",119,32
"64",2023-08-06,"ILLEX",127,44
"65",2023-08-06,"ILLEX",125,44
"66",2023-08-06,"ILLEX",121,32
"67",2023-08-06,"ILLEX",128,44
"68",2023-08-06,"ILLEX",123,36
"69",2023-08-06,"ILLEX",116,34
"70",2023-08-06,"ILLEX",137,44
"71",2023-08-06,"ILLEX",164,78
"72",2023-08-06,"ILLEX",118,36
"73",2023-08-06,"ILLEX",156,86
"74",2023-08-06,"ILLEX",120,34
"75",2023-08-06,"ILLEX",119,34
"76",2023-08-06,"ILLEX",134,44
"77",2023-08-06,"ILLEX",121,36
"78",2023-08-06,"ILLEX",140,48
"79",2023-08-06,"ILLEX",128,40
"80",2023-08-06,"ILLEX",133,44
"81",2023-08-06,"ILLEX",121,36
"82",2023-08-06,"ILLEX",123,36
"83",2023-08-06,"ILLEX",124,36
"84",2023-08-06,"ILLEX",142,52
"85",2023-08-06,"ILLEX",118,32
"86",2023-08-06,"ILLEX",119,36
"87",2023-08-06,"ILLEX",116,30
"88",2023-08-06,"ILLEX",109,32
"89",2023-08-06,"ILLEX",128,40
