DATE,SPECIES,Sample Number,Type,MANTLE LENGTH_MM,Units,Type,WEIGHT_G,Units
6/9/2023,ILLEX,1,MANTLE LENGTH,135,MM,WEIGHT,56,GM
6/9/2023,ILLEX,2,MANTLE LENGTH,150,MM,WEIGHT,64,GM
6/9/2023,ILLEX,3,MANTLE LENGTH,122,MM,WEIGHT,36,GM
6/9/2023,ILLEX,4,MANTLE LENGTH,162,MM,WEIGHT,96,GM
6/9/2023,ILLEX,5,MANTLE LENGTH,135,MM,WEIGHT,62,GM
6/9/2023,ILLEX,6,MANTLE LENGTH,142,MM,WEIGHT,70,GM
6/9/2023,ILLEX,7,MANTLE LENGTH,123,MM,WEIGHT,56,GM
6/9/2023,ILLEX,8,MANTLE LENGTH,130,MM,WEIGHT,50,GM
6/9/2023,ILLEX,9,MANTLE LENGTH,120,MM,WEIGHT,54,GM
6/9/2023,ILLEX,10,MANTLE LENGTH,114,MM,WEIGHT,44,GM
6/9/2023,ILLEX,11,MANTLE LENGTH,141,MM,WEIGHT,68,GM
6/9/2023,ILLEX,12,MANTLE LENGTH,125,MM,WEIGHT,32,GM
6/9/2023,ILLEX,13,MANTLE LENGTH,127,MM,WEIGHT,38,GM
6/9/2023,ILLEX,14,MANTLE LENGTH,120,MM,WEIGHT,36,GM
6/9/2023,ILLEX,15,MANTLE LENGTH,142,MM,WEIGHT,58,GM
6/9/2023,ILLEX,16,MANTLE LENGTH,154,MM,WEIGHT,74,GM
6/9/2023,ILLEX,17,MANTLE LENGTH,115,MM,WEIGHT,52,GM
6/9/2023,ILLEX,18,MANTLE LENGTH,132,MM,WEIGHT,50,GM
6/9/2023,ILLEX,19,MANTLE LENGTH,144,MM,WEIGHT,72,GM
6/9/2023,ILLEX,20,MANTLE LENGTH,125,MM,WEIGHT,42,GM
6/9/2023,ILLEX,21,MANTLE LENGTH,140,MM,WEIGHT,58,GM
6/9/2023,ILLEX,22,MANTLE LENGTH,121,MM,WEIGHT,38,GM
6/9/2023,ILLEX,23,MANTLE LENGTH,139,MM,WEIGHT,44,GM
6/9/2023,ILLEX,24,MANTLE LENGTH,160,MM,WEIGHT,76,GM
6/9/2023,ILLEX,25,MANTLE LENGTH,138,MM,WEIGHT,48,GM
6/9/2023,ILLEX,26,MANTLE LENGTH,128,MM,WEIGHT,54,GM
6/9/2023,ILLEX,27,MANTLE LENGTH,144,MM,WEIGHT,58,GM
6/9/2023,ILLEX,28,MANTLE LENGTH,130,MM,WEIGHT,38,GM
6/9/2023,ILLEX,29,MANTLE LENGTH,119,MM,WEIGHT,36,GM
6/9/2023,ILLEX,30,MANTLE LENGTH,129,MM,WEIGHT,48,GM
6/9/2023,ILLEX,31,MANTLE LENGTH,134,MM,WEIGHT,54,GM
6/9/2023,ILLEX,32,MANTLE LENGTH,129,MM,WEIGHT,50,GM
6/9/2023,ILLEX,33,MANTLE LENGTH,128,MM,WEIGHT,54,GM
6/9/2023,ILLEX,34,MANTLE LENGTH,116,MM,WEIGHT,34,GM
6/9/2023,ILLEX,35,MANTLE LENGTH,124,MM,WEIGHT,36,GM
6/9/2023,ILLEX,36,MANTLE LENGTH,118,MM,WEIGHT,34,GM
6/9/2023,ILLEX,37,MANTLE LENGTH,132,MM,WEIGHT,44,GM
6/9/2023,ILLEX,38,MANTLE LENGTH,151,MM,WEIGHT,74,GM
6/9/2023,ILLEX,39,MANTLE LENGTH,127,MM,WEIGHT,48,GM
6/9/2023,ILLEX,40,MANTLE LENGTH,128,MM,WEIGHT,44,GM
6/9/2023,ILLEX,41,MANTLE LENGTH,135,MM,WEIGHT,48,GM
6/9/2023,ILLEX,42,MANTLE LENGTH,120,MM,WEIGHT,34,GM
6/9/2023,ILLEX,43,MANTLE LENGTH,132,MM,WEIGHT,40,GM
6/9/2023,ILLEX,44,MANTLE LENGTH,141,MM,WEIGHT,52,GM
6/9/2023,ILLEX,45,MANTLE LENGTH,158,MM,WEIGHT,84,GM
6/9/2023,ILLEX,46,MANTLE LENGTH,121,MM,WEIGHT,32,GM
6/9/2023,ILLEX,47,MANTLE LENGTH,127,MM,WEIGHT,32,GM
